x,l,abs_err_forward,rel_err_forward,abs_err_back,rel_err_back,rel_err_sph_forward,rel_err_sph_back
0.5,8,0.000000000000000e+00,0.000000000000000e+00,7.622018032085196e-02,1.035052991609481e+00,4.106111447312868e-17,1.035052991609481e+00
0.5,9,0.000000000000000e+00,0.000000000000000e+00,5.815578734265248e-03,2.170813737704661e-02,3.102054224325246e-17,2.170813737704667e-02
0.5,10,0.000000000000000e+00,0.000000000000000e+00,7.412296208631874e-02,3.937922253036082e-01,6.739308117101223e-17,3.937922253036082e-01
0.5,11,0.000000000000000e+00,0.000000000000000e+00,6.546684677851767e-02,1.024979310294009e+00,5.222749656279477e-17,1.024979310294009e+00
0.5,12,0.000000000000000e+00,0.000000000000000e+00,5.206987083046066e-03,2.227559792618598e-02,6.872810300489038e-17,2.227559792618588e-02
0.5,13,0.000000000000000e+00,0.000000000000000e+00,6.543765383694522e-02,3.946680929792923e-01,1.153182830694938e-16,3.946680929792923e-01
0.5,14,0.000000000000000e+00,0.000000000000000e+00,5.826553533708298e-02,1.019097888643128e+00,8.324627393015625e-17,1.019097888643128e+00
0.5,15,0.000000000000000e+00,0.000000000000000e+00,4.751792755301992e-03,2.262559126833021e-02,1.312265554791029e-16,2.262559126833027e-02
0.5,16,0.000000000000000e+00,0.000000000000000e+00,5.922723861021409e-02,3.952299560688072e-01,8.231683008051463e-17,3.952299560688073e-01
0.5,17,0.000000000000000e+00,0.000000000000000e+00,5.301298546962945e-02,1.015246915166792e+00,1.959526572251538e-17,1.015246915166792e+00
0.5,18,0.000000000000000e+00,0.000000000000000e+00,4.396433925284660e-03,2.286282006105915e-02,1.108963796128051e-17,2.286282006105915e-02
0.5,19,0.000000000000000e+00,0.000000000000000e+00,5.450356663532085e-02,3.956207471033158e-01,2.652410022189942e-17,3.956207471033158e-01
0.5,20,0.000000000000000e+00,0.000000000000000e+00,4.896436524041741e-02,1.012531109596072e+00,4.158113413631660e-17,1.012531109596072e+00
0.5,21,0.000000000000000e+00,0.000000000000000e+00,4.109611679898095e-03,2.303415064140745e-02,8.483844960334108e-17,2.303415064140744e-02
0.5,22,0.000000000000000e+00,0.000000000000000e+00,5.075492368938977e-02,3.959081794056659e-01,9.670130262619364e-17,3.959081794056660e-01
0.5,23,0.000000000000000e+00,0.000000000000000e+00,4.572062287189179e-02,1.010513553802236e+00,7.744195323847918e-19,1.010513553802236e+00
0.5,24,0.000000000000000e+00,0.000000000000000e+00,3.872025306937837e-03,2.316366438225742e-02,7.907742841080468e-17,2.316366438225745e-02
0.5,25,0.000000000000000e+00,0.000000000000000e+00,4.768638275781517e-02,3.961284294244957e-01,1.131077257160230e-16,3.961284294244956e-01
0.5,26,0.000000000000000e+00,0.000000000000000e+00,4.304623567887849e-02,1.008955869253661e+00,9.025372506162798e-17,1.008955869253661e+00
0.5,27,0.000000000000000e+00,0.000000000000000e+00,3.671137267144992e-03,2.326499282519281e-02,1.045212445325519e-16,2.326499282519283e-02
0.5,28,0.000000000000000e+00,0.000000000000000e+00,4.511445136343598e-02,3.963025679280836e-01,1.341560424365323e-16,3.963025679280839e-01
0.5,29,0.000000000000000e+00,0.000000000000000e+00,4.079206966820226e-02,1.007717023698771e+00,1.522715244328001e-16,1.007717023698771e+00
